image,baseline,steered_short,steered_long,steered_detailed,len_baseline,len_short,len_long,len_detailed
000000397133.jpg,a person standing in a kitchen preparing pizza.,the long table has an island and lots of cooking equipment on it.,the man is setting up the dining table for breakfast.,a kitchen scene of two men standing in front of some pizzas.,8,13,10,12
000000037777.jpg,a kitchen scene with a table in the middle of the room.,a large kitchen filled with lots of wooden cabinets.,a kitchen that is made of wood and a white stove.,a kitchen with a table and counter with fruits on it.,12,9,11,11
000000252219.jpg,several people stand near a lot of luggage. a few bags are hanging.,a group of young kids outside a parking meter.,a bus stop has a message board being displayed.,a young girl standing in front of a pay phone.,13,9,9,10
000000087038.jpg,a man jumping over a long rail while holding a skateboard.,a man doing a trick on a jet board.,a man is doing a trick on a skateboard.,a skateboarder catches a trick off the ledge at an skate park.,11,9,9,12
000000174482.jpg,a bicycle on a city street with some bikes near by.,a blue bike stands on a sidewalk by a curb.,a blue bicycle on a cobblestone street.,a bicycle locked to a bike rack at the curb.,11,10,7,10
000000403385.jpg,a bathroom with a black counter with a soap dispenser.,a big urinal sitting inside of a bathroom.,"a bathroom with a sink, toilet, shower, paper towel dispenser, and a cabinet.",a bathroom filled with lots of different things.,10,8,13,8
000000006818.jpg,an apartment bathroom with some trash cans on the floor.,view of a bathroom sink that is decorated with hose hanging from the top of it.,a bathtub sitting on top of a white floor.,an assortment of items sitting in a toilet while a dress hangs nearby.,10,16,9,13
000000480985.jpg,a group of people stand near a sculpture,a very tall standing platform under lots of snow,"a display table topped with a helmet, some other items.",a variety of skateboards are hanging above other people.,8,9,10,9
000000458054.jpg,"a small bird sits on a toilet, atop a cardboard floor.",a dirty toilet with no lid sits alone.,a cat sits on a toilet paper mat near a stair chair.,a toilet with a protective handle with a beak sitting in a folding seat.,11,8,12,14
000000331352.jpg,a toilet with a charger for the charger board.,the toilet is very clean and a mixture is in the bathroom.,a fancy toilet with a belted seat on top of it.,a toilet sitting next to a sink on top of a toilet paper roll.,9,12,11,14
000000296649.jpg,a large group of people walking on a city street.,a large group of men riding motorcycles on a city street.,a group of motorcycle cops next to each other..,people are gathered in front of buildings to watch their cellphones.,10,11,9,11
000000386912.jpg,a woman in an apron is sitting at a desk with a laptop and a desktop,a woman with an open laptop at a desk with many books on it.,a woman is smiling as she sits behind a desk with a laptop,a woman posing with her laptop in front of her desk.,16,14,13,11
000000502136.jpg,a vase of flowers sits on the ledge by the doorway,a very small door with old pieces of wood.,a window ledge and display of books in front of a brick building.,a doorway to an old building decorated with flowers.,11,9,13,9
000000491497.jpg,a tv is turned on with a face full of books and a desk with a lamp.,a room with a television on and a dresser,a television sits on top of a table in front of a laptop.,a bed sits in a room with books on top of it.,17,9,13,12
000000184791.jpg,a colorful photo of a plate of fruit with a cup and bottle of water.,various kinds of fruits and a knife on a wooden table.,a glass vase sitting next to an apple and another one.,a table filled with fruit and cups and a red mat.,15,11,11,11
000000348881.jpg,an airplane sitting at an airport where the gate is located.,picture taken from a plane traveling near the airport platform,a luggage has been made of steel on a tarmac,the train carriage around the terminal is on the rails.,11,10,10,10
000000289393.jpg,a pair of small figurines stand together on a table.,the colorful stuffed animals stand on the wooden floor.,an elephant figurine beside a table with a tv on it.,a giant stuffed teddy bear sitting on a yellow counter.,10,9,11,10
000000522713.jpg,a bench sitting on top of a lush green field.,a wooden bench in the grass next to the beach.,a bench on the edge of a wide body of water.,a bench on the side of a dirt road.,10,10,11,9
000000181666.jpg,a large group of camels on a sandy beach.,a group of people sitting in a desert field.,a lot of people standing by a fence.,a big group of people riding horses through a desert field.,9,9,8,11
000000017627.jpg,a bunch of cars are going through a street.,a city street filled with lots of vehicles.,several cars sit on the side of a road.,a street is parked on a curb under a bridge.,9,8,9,10
000000143931.jpg,a travel bus sitting on a road behind a vehicle.,a blue bus with the words prop checks on it is in the street.,a woman standing at a bus stop holding a cup.,a bus driving down a street with rain coming down.,10,14,10,10
000000303818.jpg,a bus in a group of people standing next to each other,a bus stopping in a city near a street curb.,a group of people stand at a curb watching a yellow bus on the street.,a yellow bus that is on a city street.,12,10,15,9
000000463730.jpg,a bunch of people that are standing in the street.,large group of people standing around a blue double decker bus.,a blue and red bus and some cars and a building,a group of people standing in front of a car.,10,11,11,10
000000460347.jpg,a bus next to a large body of water.,several cars sitting at the corner on a city street,a person riding a motorcycle on a track next to a bus.,a bus driving on the corner of a traffic light.,9,10,12,10
000000322864.jpg,an easy way to get out of a yellow taxi,a sign is attached to a metal pole outside a restaurant.,a yellow and blue sign and yellow and black car.,the street sign posted near the london zoo.,10,11,10,8
000000226111.jpg,a sign held by a metal pole that says,a yard sign located just in front of an intersection. a street sign,a sign sitting by a wood post on top of a street.,a no parking sign mounted to a post.,9,13,12,8
000000153299.jpg,two big giraffe standing next to each other in front of a building.,"two small brown, white and red giraffe standing next to each other.","two big brown, white, and brown giraffes looking at each other.",a pair of giraffes in front of a wooden building.,13,12,11,10
000000308394.jpg,a red couch and a red pillow on a red train.,a young boy looks at a tv screen mounted on a subway train.,a man sitting on a subway train watching something in the window.,a man with headphones sitting on a train next to a window.,11,13,12,12
000000456496.jpg,a man jumping in the air with a skateboard.,an image of two people doing a trick in the park,a man sitting on a ledge over a dog in a pool.,a man riding his skateboard over a puddle.,9,11,12,8
000000058636.jpg,"a street sign talking distance from a railroad road repealed "".",a street sign sitting above a road where many streets go by.,a lot of street signs next to each other,a couple of signs hanging from a pole.,10,12,9,8
000000041888.jpg,a pair of birds that are in the grass.,a couple of birds are standing in the grass.,a large bird with black feathers is standing in a field.,two large black birds standing in a grass field.,9,9,11,9
000000184321.jpg,an electric commuter train parked at the train station.,a big long train on a steel track.,a passenger train is pulling into a station.,"a train cars with two cars behind them, near the railway.",9,8,8,11
000000565778.jpg,a train traveling past a stone building and forest.,two train tracks underneath a hill and a large body of water.,a blue and silver train sitting on a track.,a train moving around a bend near a building.,9,12,9,9
000000297343.jpg,a red stop sign hanging from a side board.,a close up of a stop sign on a pole,a couple of chairs sit underneath a street sign.,a red stop sign mounted to the side of a building.,9,10,9,11
000000336587.jpg,a red stop sign sitting under a tall pole.,the red stop sign was placed at a corner in front of a white house.,a stop sign has fallen over on a wooden pole.,a red sign that says sold next to a street.,9,15,10,10
000000122745.jpg,a stop sign lit up with street lights on.,a red stop sign is lit on a night time sky..,a stop sign sitting on top of a pole.,a hazy photograph of a street sign at night.,9,11,9,9
000000219578.jpg,a black dog wearing a pink dress and holding a toy,a dog laying on a covered blanket in a room.,a dog sitting on a couch with a mouse on the arm.,a dog resting on a couch holding a laptop.,11,10,12,9
