image,caption,caption_length,mean_alignment_iou,num_aligned_words,figure_path
000000397133.jpg,a man is preparing a pizza in a kitchen.,9,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0000.png
000000037777.jpg,"a kitchen with a stove, refrigerator, and a refrigerator.",9,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0001.png
000000252219.jpg,a group of people standing in front of a store.,10,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0002.png
000000087038.jpg,a man is doing a trick on a skateboard.,9,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0003.png
000000174482.jpg,a bicycle is parked on a sidewalk near a car.,10,0.4743878865979381,1,tasks/task2_attention_analysis/results/figures/attention_grid_0004.png
000000403385.jpg,"a bathroom with a toilet, sink, and mirror.",8,0.06881727005870841,1,tasks/task2_attention_analysis/results/figures/attention_grid_0005.png
000000006818.jpg,"a bathroom with a toilet, sink, and a mirror.",9,0.02069672131147541,1,tasks/task2_attention_analysis/results/figures/attention_grid_0006.png
000000480985.jpg,a man is riding a skateboard on a ramp.,9,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0007.png
000000458054.jpg,a toilet with a black seat and a black top,10,0.8597381161971831,1,tasks/task2_attention_analysis/results/figures/attention_grid_0008.png
000000331352.jpg,a toilet with a seat and a handlebars,8,0.40205128205128204,1,tasks/task2_attention_analysis/results/figures/attention_grid_0009.png
000000296649.jpg,a group of people riding motorcycles on a city street.,10,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0010.png
000000386912.jpg,a woman sitting at a table with a laptop and a cake.,12,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0011.png
000000502136.jpg,a doorway with a bunch of different items on it.,10,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0012.png
000000491497.jpg,"a bedroom with a bed, dresser, television, and a dresser.",10,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0013.png
000000184791.jpg,"a painting of a bottle, a plate of fruit, and a glass of wine.",14,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0014.png
000000348881.jpg,a large jet is sitting on the tarmac.,8,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0015.png
000000289393.jpg,a dog is standing on a table with a vase on it.,12,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0016.png
000000522713.jpg,a bench sitting on top of a lush green field.,10,0.034899088541666665,1,tasks/task2_attention_analysis/results/figures/attention_grid_0017.png
000000181666.jpg,a large group of people standing in a desert.,9,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0018.png
000000017627.jpg,a street with cars and a bus on it.,9,0.1187109375,1,tasks/task2_attention_analysis/results/figures/attention_grid_0019.png
000000143931.jpg,a blue bus is parked in front of a building.,10,0.981796875,1,tasks/task2_attention_analysis/results/figures/attention_grid_0020.png
000000303818.jpg,a group of people standing on a street.,8,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0021.png
000000463730.jpg,a group of people standing in a parking lot.,9,0.0,0,tasks/task2_attention_analysis/results/figures/attention_grid_0022.png
